domain,email,url,query,category,found_at
"digitaldot.es","info@digitaldot.es","https://digitaldot.es","mejores herramientas seo pequeños negocios","","2026-05-20T17:18:46.697Z"
"aioseo.com","support@aioseo.com","https://aioseo.com/es/best-seo-tools-for-small-business/","mejores herramientas seo pequeños negocios","","2026-05-20T17:18:49.131Z"
"quickcreator.io","support@quickcreator.io","https://quickcreator.io/es/blog/herramientas-seo-pequenas-empresas-2026/","mejores herramientas seo pequeños negocios","","2026-05-20T17:18:52.443Z"
"solvermedia.com","comercial@solvermedia.com","https://solvermedia.com","software seo barato autónomos","","2026-05-20T17:19:09.005Z"
"techsy.io","hello@techsy.io","https://techsy.io/es/blog/precios-software-seo-autonomo","software seo barato autónomos","","2026-05-20T17:19:15.568Z"
"seocloud.es","hola@seocloud.es","https://seocloud.es","software seo barato autónomos","","2026-05-20T17:19:18.007Z"
"www.iebschool.com","cristian@iebschool.com","https://www.iebschool.com/hub/herramientas-imprescindibles-gratuitas-seo-sem/","herramientas seo gratis","","2026-05-20T17:19:32.118Z"
"www.iebschool.com","info@iebschool.com","https://www.iebschool.com/hub/herramientas-imprescindibles-gratuitas-seo-sem/","herramientas seo gratis","","2026-05-20T17:19:32.118Z"
"expertig.es","info@expertig.es","https://expertig.es/guia-completa-para-dominar-el-seo-en-2024-estrategias-actualizadas/","guía seo 2024","","2026-05-20T17:19:56.600Z"
"ticgrup.com","info@ticgrup.com","https://ticgrup.com/dominando-el-seo-guia-completa-y-actualizada-para-2024/","guía seo 2024","","2026-05-20T17:20:04.147Z"
"seodemia.es","info@seodemia.com","https://seodemia.es/blog/guia-seo-2025-estrategias-completas-para-dominar-google/","guía seo 2025","","2026-05-20T17:20:26.536Z"
"seodemia.es","ventas@seodemia.com","https://seodemia.es/blog/guia-seo-2025-estrategias-completas-para-dominar-google/","guía seo 2025","","2026-05-20T17:20:26.536Z"
"raquelmontoya.es","hola@raquelmontoya.es","https://raquelmontoya.es/guia-seo-2025/","guía seo 2025","","2026-05-20T17:20:35.846Z"
